concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
2000000137	2000000128	Is a	1970-01-01	2099-12-31		
2000000138	2000000128	Is a	1970-01-01	2099-12-31		
2000000139	2000000128	Is a	1970-01-01	2099-12-31		
2000000140	2000000128	Is a	1970-01-01	2099-12-31		
2000000141	2000000128	Is a	2022-04-01	2099-12-31		
2000000142	2000000128	Is a	2022-04-01	2099-12-31		
2000000143	2000000128	Is a	2022-04-01	2099-12-31		
2000000128	2000000129	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000130	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000131	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000132	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000133	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000134	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000135	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000136	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000137	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000138	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000139	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000140	Subsumes	1970-01-01	2099-12-31		
2000000128	2000000141	Subsumes	2022-04-01	2099-12-31		
2000000128	2000000142	Subsumes	2022-04-01	2099-12-31		
2000000128	2000000143	Subsumes	2022-04-01	2099-12-31		
2000000145	2000000144	Is a	1970-01-01	2099-12-31		
2000000146	2000000144	Is a	1970-01-01	2099-12-31		
2000000147	2000000144	Is a	1970-01-01	2099-12-31		
2000000148	2000000144	Is a	1970-01-01	2099-12-31		
2000000149	2000000144	Is a	1970-01-01	2099-12-31		
2000000150	2000000144	Is a	1970-01-01	2099-12-31		
2000000151	2000000144	Is a	1970-01-01	2099-12-31		
2000000152	2000000144	Is a	1970-01-01	2099-12-31		
2000000153	2000000144	Is a	1970-01-01	2099-12-31		
2000000154	2000000144	Is a	1970-01-01	2099-12-31		
2000000155	2000000144	Is a	1970-01-01	2099-12-31		
2000000144	2000000145	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000146	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000147	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000148	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000149	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000150	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000151	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000152	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000153	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000154	Subsumes	1970-01-01	2099-12-31		
2000000144	2000000155	Subsumes	1970-01-01	2099-12-31		
2000000157	2000000156	Is a	1970-01-01	2099-12-31		
2000000158	2000000156	Is a	1970-01-01	2099-12-31		
2000000156	2000000157	Subsumes	1970-01-01	2099-12-31		
2000000156	2000000158	Subsumes	1970-01-01	2099-12-31		
2000000160	2000000159	Is a	1970-01-01	2099-12-31		
2000000161	2000000159	Is a	1970-01-01	2099-12-31		
2000000162	2000000159	Is a	1970-01-01	2099-12-31		
2000000163	2000000159	Is a	1970-01-01	2099-12-31		
2000000164	2000000159	Is a	1970-01-01	2099-12-31		
2000000159	2000000160	Subsumes	1970-01-01	2099-12-31		
2000000159	2000000161	Subsumes	1970-01-01	2099-12-31		
2000000159	2000000162	Subsumes	1970-01-01	2099-12-31		
2000000159	2000000163	Subsumes	1970-01-01	2099-12-31		
2000000159	2000000164	Subsumes	1970-01-01	2099-12-31		
2000000166	2000000165	Is a	1970-01-01	2099-12-31		
2000000167	2000000165	Is a	1970-01-01	2099-12-31		
2000000168	2000000165	Is a	1970-01-01	2099-12-31		
2000000169	2000000165	Is a	1970-01-01	2099-12-31		
2000000165	2000000166	Subsumes	1970-01-01	2099-12-31		
2000000165	2000000167	Subsumes	1970-01-01	2099-12-31		
2000000165	2000000168	Subsumes	1970-01-01	2099-12-31		
2000000165	2000000169	Subsumes	1970-01-01	2099-12-31		
2000000171	2000000170	Is a	1970-01-01	2099-12-31		
2000000172	2000000170	Is a	1970-01-01	2099-12-31		
2000000173	2000000170	Is a	1970-01-01	2099-12-31		
2000000174	2000000170	Is a	1970-01-01	2099-12-31		
2000000175	2000000170	Is a	2022-04-01	2099-12-31		
2000000170	2000000171	Subsumes	1970-01-01	2099-12-31		
2000000170	2000000172	Subsumes	1970-01-01	2099-12-31		
2000000170	2000000173	Subsumes	1970-01-01	2099-12-31		
2000000170	2000000174	Subsumes	1970-01-01	2099-12-31		
2000000170	2000000175	Subsumes	2022-04-01	2099-12-31		
2000000177	2000000176	Is a	1970-01-01	2099-12-31		
2000000178	2000000176	Is a	1970-01-01	2099-12-31		
2000000179	2000000176	Is a	1970-01-01	2099-12-31		
2000000180	2000000176	Is a	1970-01-01	2099-12-31		
2000000181	2000000176	Is a	1970-01-01	2099-12-31		
2000000182	2000000176	Is a	1970-01-01	2099-12-31		
2000000183	2000000176	Is a	1970-01-01	2099-12-31		
2000000184	2000000176	Is a	1970-01-01	2099-12-31		
2000000185	2000000176	Is a	1970-01-01	2099-12-31		
2000000186	2000000176	Is a	1970-01-01	2099-12-31		
2000000187	2000000176	Is a	1970-01-01	2099-12-31		
2000000188	2000000176	Is a	1970-01-01	2099-12-31		
2000000189	2000000176	Is a	1970-01-01	2099-12-31		
2000000190	2000000176	Is a	1970-01-01	2099-12-31		
2000000191	2000000176	Is a	1970-01-01	2099-12-31		
2000000176	2000000177	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000178	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000179	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000180	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000181	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000182	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000183	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000184	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000185	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000186	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000187	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000188	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000189	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000190	Subsumes	1970-01-01	2099-12-31		
2000000176	2000000191	Subsumes	1970-01-01	2099-12-31		
2000000193	2000000192	Is a	1970-01-01	2099-12-31		
2000000194	2000000192	Is a	1970-01-01	2099-12-31		
2000000195	2000000192	Is a	1970-01-01	2099-12-31		
2000000196	2000000192	Is a	1970-01-01	2099-12-31		
2000000192	2000000193	Subsumes	1970-01-01	2099-12-31		
2000000192	2000000194	Subsumes	1970-01-01	2099-12-31		
2000000192	2000000195	Subsumes	1970-01-01	2099-12-31		
2000000192	2000000196	Subsumes	1970-01-01	2099-12-31		
2000000198	2000000197	Is a	1970-01-01	2099-12-31		
2000000199	2000000197	Is a	1970-01-01	2099-12-31		
2000000200	2000000197	Is a	1970-01-01	2099-12-31		
2000000201	2000000197	Is a	1970-01-01	2099-12-31		
2000000202	2000000197	Is a	1970-01-01	2099-12-31		
2000000203	2000000197	Is a	1970-01-01	2099-12-31		
2000000204	2000000197	Is a	1970-01-01	2099-12-31		
2000000205	2000000197	Is a	1970-01-01	2099-12-31		
2000000206	2000000197	Is a	1970-01-01	2099-12-31		
2000000207	2000000197	Is a	1970-01-01	2099-12-31		
2000000208	2000000197	Is a	1970-01-01	2099-12-31		
2000000209	2000000197	Is a	1970-01-01	2099-12-31		
2000000210	2000000197	Is a	1970-01-01	2099-12-31		
2000000211	2000000197	Is a	1970-01-01	2099-12-31		
2000000212	2000000197	Is a	1970-01-01	2099-12-31		
2000000213	2000000197	Is a	1970-01-01	2099-12-31		
2000000214	2000000197	Is a	1970-01-01	2099-12-31		
2000000215	2000000197	Is a	1970-01-01	2099-12-31		
2000000216	2000000197	Is a	1970-01-01	2099-12-31		
2000000217	2000000197	Is a	1970-01-01	2099-12-31		
2000000218	2000000197	Is a	1970-01-01	2099-12-31		
2000000219	2000000197	Is a	1970-01-01	2099-12-31		
2000000220	2000000197	Is a	1970-01-01	2099-12-31		
2000000221	2000000197	Is a	1970-01-01	2099-12-31		
2000000222	2000000197	Is a	1970-01-01	2099-12-31		
2000000223	2000000197	Is a	1970-01-01	2099-12-31		
2000000224	2000000197	Is a	1970-01-01	2099-12-31		
2000000225	2000000197	Is a	1970-01-01	2099-12-31		
2000000226	2000000197	Is a	1970-01-01	2099-12-31		
2000000227	2000000197	Is a	1970-01-01	2099-12-31		
2000000228	2000000197	Is a	1970-01-01	2099-12-31		
2000000229	2000000197	Is a	1970-01-01	2099-12-31		
2000000230	2000000197	Is a	1970-01-01	2099-12-31		
2000000231	2000000197	Is a	1970-01-01	2099-12-31		
2000000197	2000000198	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000199	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000200	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000201	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000202	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000203	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000204	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000205	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000206	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000207	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000208	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000209	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000210	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000211	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000212	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000213	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000214	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000215	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000216	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000217	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000218	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000219	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000220	Subsumes	1970-01-01	2099-12-31		
